Source	Description	ID	Units	Analyzed timeframe 	Resolution	Source	Category
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO15_=_Precipitation_seasonality_(coefficient_of_variation):_mean	MERRAclimmin_00s_bio15	kg of water/kg of air	2000-2009	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO16_=_Precipitation_of_wettest_quarter:_mean	MERRAclimmin_00s_bio16	kg of water/kg of air	2000-2009	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO17_=_Precipitation_of_driest_quarter:_mean	MERRAclimmin_00s_bio17	kg of water/kg of air	2000-2009	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO18_=_Precipitation_of_warmest_quarter:_mean	MERRAclimmin_00s_bio18	kg of water/kg of air	2000-2009	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO19_=_Precipitation_of_coldest_quarter:_mean	MERRAclimmin_00s_bio19	kg of water/kg of air	2000-2009	2.5 arc-minutes	Satellite	Precipitation
Global aboveground and belowground biomass carbon density maps for the year 2010	Aboveground  biomass carbon density	ORNL_aboveground_biomass	MgC_ha-1	2010	0.027°	Model	Productivity
Global aboveground and belowground biomass carbon density maps for the year 2010	Aboveground  biomass carbon density	ORNL_belowground_biomass	MgC_ha-1	2010	0.027°	Model	Productivity
ENVIREM:_ENVIronmental_Rasters_for_Ecological_Modeling_version_1.0	Envirem_annual_PET	Envirem_annual_PET	mm_/_year	1960-1990	30 arc-second	Satellite	Drought stress
ENVIREM:_ENVIronmental_Rasters_for_Ecological_Modeling_version_1.0	Envirem_Aridity_Index_Thornthwaite	Envirem_Aridity_Index_Thornthwaite	Index	1960-1990	30 arc-second	Satellite	Drought stress
ENVIREM:_ENVIronmental_Rasters_for_Ecological_Modeling_version_1.0	Envirem_Climatic_Moisture_Index	Envirem_Climatic_Moisture_Index	Index	1960-1990	30 arc-second	Satellite	Drought stress
ENVIREM:_ENVIronmental_Rasters_for_Ecological_Modeling_version_1.0	Envirem_Continentality	Envirem_Continentality	Index	1960-1990	30 arc-second	Satellite	Temperature
ENVIREM:_ENVIronmental_Rasters_for_Ecological_Modeling_version_1.0	Envirem_Emberger_pluviothermic_quotient	Envirem_Emberger_pluviothermic_quotient	Index	1960-1990	30 arc-second	Satellite	Precipitation
ENVIREM:_ENVIronmental_Rasters_for_Ecological_Modeling_version_1.0	Envirem_Growing_Degree_Days_0C	Envirem_Growing_Degree_Days_0C	days	1960-1990	30 arc-second	Satellite	Temperature
ENVIREM:_ENVIronmental_Rasters_for_Ecological_Modeling_version_1.0	Envirem_Growing_Degree_Days_5C	Envirem_Growing_Degree_Days_5C	days	1960-1990	30 arc-second	Satellite	Temperature
ENVIREM:_ENVIronmental_Rasters_for_Ecological_Modeling_version_1.0	Envirem_Max_Temp_Coldest_Month	Envirem_Max_Temp_Coldest_Month	Celsius	1960-1990	30 arc-second	Satellite	Temperature
ENVIREM:_ENVIronmental_Rasters_for_Ecological_Modeling_version_1.0	Envirem_Min_Temp_Warmest_Month	Envirem_Min_Temp_Warmest_Month	Celsius	1960-1990	30 arc-second	Satellite	Temperature
ENVIREM:_ENVIronmental_Rasters_for_Ecological_Modeling_version_1.0	Envirem_Month_Count_By_Temp_10C	Envirem_Month_Count_By_Temp_10C	months	1960-1990	30 arc-second	Satellite	Temperature
ENVIREM:_ENVIronmental_Rasters_for_Ecological_Modeling_version_1.0	Envirem_PET_Coldest_Quarter	Envirem_PET_Coldest_Quarter	mm/month	1960-1990	30 arc-second	Satellite	Drought stress
ENVIREM:_ENVIronmental_Rasters_for_Ecological_Modeling_version_1.0	Envirem_PET_Driest_Quarter	Envirem_PET_Driest_Quarter	mm/month	1960-1990	30 arc-second	Satellite	Drought stress
ENVIREM:_ENVIronmental_Rasters_for_Ecological_Modeling_version_1.0	Envirem_PET_seasonality	Envirem_PET_seasonality	mm/month	1960-1990	30 arc-second	Satellite	Drought stress
ENVIREM:_ENVIronmental_Rasters_for_Ecological_Modeling_version_1.0	Envirem_PET_Warmest_Quarter	Envirem_PET_Warmest_Quarter	mm/month	1960-1990	30 arc-second	Satellite	Drought stress
ENVIREM:_ENVIronmental_Rasters_for_Ecological_Modeling_version_1.0	Envirem_PET_Wettest_Quarter	Envirem_PET_Wettest_Quarter	mm/month	1960-1990	30 arc-second	Satellite	Drought stress
ENVIREM:_ENVIronmental_Rasters_for_Ecological_Modeling_version_1.0	Envirem_Thermicity_Index	Envirem_Thermicity_Index	Index	1960-1990	30 arc-second	Satellite	Temperature
GPP from Vegetation Photosynthesis Model	GPP based on vegetation phosotynthesis model (VPM)	GPP_VPM	g C m_2 day_1	2000-2016	0.05°	Satellite	Productivity
ESA CCI Biomass Climate Change Initiative (CCI) 	ESACCI_Aboveground biomass	ESACCI_Aboveground biomass	tons/ha	2017	500 m	Satellite	Productivity
NASA’s Goddard Institute for Space Studies’ (GISS)	GISS_Global_temperature_anomaly_monthly_spring	GISS_Global_temperature_anomaly_monthly_spring	Celsius	2001-2009	0.5°	Satellite	Temperature
NASA’s Goddard Institute for Space Studies’ (GISS)	GISS_Global_temperature_anomaly_montly_summer	GISS_Global_temperature_anomaly_montly_summer	Celsius	2001-2009	0.5°	Satellite	Temperature
NASA’s Goddard Institute for Space Studies’ (GISS)	GISS_Global_temperature_anomaly_yearly	GISS_Global_temperature_anomaly_yearly	Celsius	2001-2009	0.1°	Satellite	Temperature
NTSG_UMT_MODIS_Global_Terrestrial_Drought_Severity_Index	MODIS_Global_Terrestrial_Drought_Severity_Index_annual	MODIS_Global_Terrestrial_Drought_Severity_Index	Index	2001-2009	0.05°	Satellite	Drought stress
Soil_salinity_Ece_10.17632_v9mgbmtnf2.1	Soil_salinity_Ece	Soil_salinity_Ece	dS m_1	2010-2018	30 arc-seconds	Soil survey	Edaphic
Soil_sodicity_ESP_10.17632_v9mgbmtnf2.1	Soil_sodicity_ESP	Soil_sodicity_ESP	%	2010-2018	30 arc-seconds	Soil survey	Edaphic
USGS EROS Archive	GTOPO30_Elevation	GTOPO30_Elevation	meters	2010	1 km	Digital Elevation Model	Geography and physical terrain
SRTM 90m Digital Elevation Database v4.1	Elevation_CGIAR_CSI_SRTM	Elevation_CGIAR_CSI_SRTM	meters	2008	30 meter	Digital Elevation Model	Geography and physical terrain
ASTER GDEM V3	GDEM_Global_Digital_Elevation_Map	GDEM_Global_Digital_Elevation_Map	meters	2019	10 km	Digital Elevation Model	Geography and physical terrain
ODIAC Fossil Fuel CO2 Emissions Dataset	ODIAC_Fossil_suel_emissions_spring	ODIAC_Fossil_suel_emissions_spring	tons/month	2000-2009	1 km	Satellite	Atmospheric
ODIAC Fossil Fuel CO2 Emissions Dataset	ODIAC_Fossil_suel_emissions_summer	ODIAC_Fossil_suel_emissions_summer	tons/month	2000-2009	1 km	Satellite	Atmospheric
Global Gridded 1-km Annual Soil Respiration and Uncertainty Derived from SRDB V3	Annual heterotrophic_respiration_Lamberty_2004	Annual heterotrophic_respiration_Lamberty_2004	g C m_1 year_1	1961-2011	1 km	Satellite	Edaphic
Global Gridded 1-km Annual Soil Respiration and Uncertainty Derived from SRDB V3	heterotrophic_resp_Subke_2006	Annual_heterotrophic_resp_Subke_2006	g C m_1 year_1	1961-2011	1 km	Satellite	Edaphic
Global Gridded 1-km Annual Soil Respiration and Uncertainty Derived from SRDB V3	Annual soil respiration	Annual soil respiration	g C m_1 year_1	1961-2011	1 km	Satellite	Edaphic
EARTHSTAT	WaterGAP3_Water_depletion	WaterDepletionCat_WG3	%	1971–2000	5 arc-minute 	Model	Drought stress
EARTHSTAT	Per Food Kilocalorie Emissions From Croplands	Per Food Kilocalorie Emissions From Croplands	Mg CO2e M kcal-1	2000	5 arc-minute 	Model	Atmospheric
EARTHSTAT	Per Kilocalorie Emissions From Croplands	Per Kilocalorie Emissions From Croplands	Mg CO2e M kcal-1	2000	5 arc-minute 	Model	Atmospheric
EARTHSTAT	Total Emissions from Croplands	Total Emissions from Croplands	Mg CO2e yr-1	2000	5 arc-minute 	Model	Atmospheric
EARTHSTAT	Nitrogen Balance On Landscape	Nitrogen Balance On Landscape	Index	2000	5 arc-minute 	Model	Edaphic
EARTHSTAT	PhosphorusBalanceOnLandscape	PhosphorusBalanceOnLandscape	index	2000	5 arc-minute 	Model	Edaphic
EARTHSTAT	Carbon Stocks in Potential Natural Vegetation	Carbon_storage	tons C/ha	2008	10 km	Model	Edaphic
ISRIC_World_Soil_information	Global_distribution_of_soil_phosphorus_retention_potential	Global_distribution_of_soil_phosphorus_retention_potential	%	2011	5 arc-minute 	Model	Edaphic
UNH Global Ecology Group Data Repository	OCO-2-based SIF product GPP Spring	GOSIF_GPP_Spring	g C m-2 mo-1 	2001-2010	0.05°	Satellite	Productivity
UNH Global Ecology Group Data Repository	OCO-2-based SIF product GPP Wummer	GOSIF_GPP_Summer	g C m-2 mo-1 	2001-2010	0.05°	Satellite	Productivity
CGIAR_CSI_Global aridity and potential evapotranspiration climate database	CGIAR_Global_aridity_index	CGIAR_Global_aridity_index	index	1970-2000	30 arc seconds	Model	Drought stress
CGIAR_CSI_Global aridity and potential evapotranspiration climate database	CGIAR_Global_Reference_Evapotranspiration_Spring	CGIAR_Global_Reference_Evapotranspiration_Spring	mm/day	1970-2000	30 arc seconds	Model	Drought stress
CGIAR_CSI_Global aridity and potential evapotranspiration climate database	CGIAR_Global_Reference_Evapotranspiration_Summer	CGIAR_Global_Reference_Evapotranspiration_Summer	mm/day	1970-2000	30 arc seconds	Model	Drought stress
CGIAR_CSI_Global aridity and potential evapotranspiration climate database	CGIAR_Global_Reference_Evapotranspiration	CGIAR_Global_Reference_Evapotranspiration	mm/day	1970-2000	30 arc seconds	Model	Drought stress
